timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1524176620743,308,/api/runs?job_uid=9c9f362e-f641-4ec8-a582-d1221548dda4,200,OK,EventKit User 1-34,text,true,,7126,534,8,8,307,0,13
1524176621255,361,/api/runs?job_uid=b9e04335-8687-4ca0-8d3f-3875548d85a1,200,OK,EventKit User 1-8,text,true,,7511,534,8,8,361,0,9
1524176623312,454,/api/runs?job_uid=a972c324-c018-4ef9-82f6-2d0d141feb15,200,OK,EventKit User 1-15,text,true,,7130,534,8,8,454,0,11
1524176625464,267,/api/runs?job_uid=731747e6-009e-46f3-8b92-734f7c2ebce3,200,OK,EventKit User 1-40,text,true,,7130,534,8,8,266,0,15
1524176626895,274,/api/runs?job_uid=3c505c21-d9a8-4d18-b5fd-95fcf7a1454a,200,OK,EventKit User 1-31,text,true,,7128,534,8,8,273,0,20
1524176628839,292,/api/runs?job_uid=4d41c422-f519-4b68-ab8c-33defd63aedf,200,OK,EventKit User 1-20,text,true,,7122,534,8,8,291,0,11
1524176631686,383,/api/runs?job_uid=22e8edbf-4c30-441b-ad7d-5b7450c46bc0,200,OK,EventKit User 1-41,text,true,,7127,534,8,8,383,0,6
1524176631815,433,/api/runs?job_uid=ba642279-6eeb-4087-90e8-2c4fb5768dd3,200,OK,EventKit User 1-23,text,true,,7132,534,8,8,433,0,11
1524176632064,321,/api/runs?job_uid=9c9f362e-f641-4ec8-a582-d1221548dda4,200,OK,EventKit User 1-34,text,true,,7126,534,8,8,318,0,7
1524176632627,302,/api/runs?job_uid=b9e04335-8687-4ca0-8d3f-3875548d85a1,200,OK,EventKit User 1-8,text,true,,7513,534,8,8,302,0,35
1524176634779,284,/api/runs?job_uid=a972c324-c018-4ef9-82f6-2d0d141feb15,200,OK,EventKit User 1-15,text,true,,7130,534,8,8,284,0,9
1524176636739,425,/api/runs?job_uid=731747e6-009e-46f3-8b92-734f7c2ebce3,200,OK,EventKit User 1-40,text,true,,7132,534,8,8,424,0,27
1524176638185,370,/api/runs?job_uid=3c505c21-d9a8-4d18-b5fd-95fcf7a1454a,200,OK,EventKit User 1-31,text,true,,7126,534,8,8,370,0,8
1524176640142,317,/api/runs?job_uid=4d41c422-f519-4b68-ab8c-33defd63aedf,200,OK,EventKit User 1-20,text,true,,7124,534,8,8,317,0,8
1524176643082,299,/api/runs?job_uid=22e8edbf-4c30-441b-ad7d-5b7450c46bc0,200,OK,EventKit User 1-41,text,true,,7129,534,8,8,298,0,11
1524176643262,473,/api/runs?job_uid=ba642279-6eeb-4087-90e8-2c4fb5768dd3,200,OK,EventKit User 1-23,text,true,,7130,534,8,8,473,0,8
1524176643395,447,/api/runs?job_uid=9c9f362e-f641-4ec8-a582-d1221548dda4,200,OK,EventKit User 1-34,text,true,,7126,534,8,8,446,0,7
1524176643939,308,/api/runs?job_uid=b9e04335-8687-4ca0-8d3f-3875548d85a1,200,OK,EventKit User 1-8,text,true,,7515,534,8,8,308,0,9
1524176646074,271,/api/runs?job_uid=a972c324-c018-4ef9-82f6-2d0d141feb15,200,OK,EventKit User 1-15,text,true,,7130,534,8,8,271,0,12
